description_cost,category,componentsubtype,componenttype,description_id,description_details,damage,damage2,heatgenerated,aura2_ams,aura2_c3,aura2_c3i,aura2_c3m,aura2_c3ms,aura2_eccm,aura2_eccm_protect,aura2_ecm,aura2_jammer,aura2_searchlight,custom_bonusdescriptions
300000,,NotSet,Upgrade,Gear_Sensors_Passive,"A sensor system that only passively detects ambient signals, instead of scanning with radar, sonar, ",,,,,,,,,,,,,,"{""Bonuses"":[""Sensors: -10%"",""Signature: -25%"",""AdvancedSensors: 1""]}"
300000,,NotSet,Upgrade,Gear_Sensors_HighPowered,A Higher powered Sensors Suite able to sense further away.,,,,,,,,,,,,,,"{""Bonuses"":[""Sensors: +10%"",""Sight: +5%"",""AdvancedSensors: 3"",""DetectMine: 120""]}"
300000,,NotSet,Upgrade,Gear_Gyro_Rawlings_StabiliTrak-5,Gyros counteract the massive amounts of momentum generated from 'Mech engines and allow for precisio,,,,,,,,,,,,,,"{""Bonuses"":[""SureFoot"",""StabDamageTaken: -5%"",""GyroStab: 40""]}"
300000,,NotSet,Upgrade,Gear_Gyro_Friedhof_Osprey,Gyros counteract the massive amounts of momentum generated from 'Mech engines and allow for precisio,,,,,,,,,,,,,,"{""Bonuses"":[""Defense: +1"",""GyroStab: 40""]}"
300000,,NotSet,Upgrade,Gear_Gyro_Coventry_Mark-75,Gyros counteract the massive amounts of momentum generated from 'Mech engines and allow for precisio,,,,,,,,,,,,,,"{""Bonuses"":[""MeleeAcc: +1"",""GyroStab: 40""]}"
300000,,NotSet,Upgrade,Gear_FCS_MachineGun,A unique Fire Control System that overcharges the mechanisms that reload Machine Guns mounted on the,,,,,,,,,,,,,,"{""Bonuses"":[""ShotsFiredMG: +2"",""MGHeatGenerated: +40%"",""MGAcc: -1"",""RecoilMG: +1"",""FCS""]}"
300000,,NotSet,Upgrade,Gear_FCS_ArtemisIII,"An advanced version of the Artemis II System, this FCS provides more advanced guidance control for M",,,,,,,,,,,,,,"{""Bonuses"":[""MissileClustering: +6"",""FCS""]}"
300000,,NotSet,Upgrade,Gear_Cockpit_Spiked_Helmet,This looks like it once was a Ceres Metals Compact Cockpit but someone made it look like a helm and ,,,,,,,,,,,,,,"{""Bonuses"":[""Health: 1"",""Melee: +10%"",""SkillGunnery: -1"",""SkillPiloting: -1"",""SkillGuts: +1"",""SkillTactics: -1"",""IsCockpit""]}"
280000,,NotSet,Upgrade,emod_clancase2,Clan CASE II is functionally similar to the experimental FIS CASE II but only weighs half as much. W,,,,,,,,,,,,,,"{""Bonuses"":[""CASEII""]}"
260000,,NotSet,Upgrade,Special_IFFJammer_MK2,A Basic IFF (Identify Friend/Foe) Jamming unit that prevents enemy to ascertain a units allegiance r,,,,,,,,,,,,,,"{""Bonuses"":[""Special: 0.2"",""IFFJammer: 2""]}"
260000,,NotSet,Upgrade,Gear_Cockpit_SecondaryCPU2,Classified.,,,,,,,,,,,,,,"{""Bonuses"":[""Sight2: 100"",""Initiative: +1"",""IsCockpit""]}"
260000,,NotSet,Upgrade,Gear_Cockpit_Majesty_M_M_180KL,"All 'Mechs come equipped with a stock cockpit configuration, which can be upgraded for improved perf",,,,,,,,,,,,,,"{""Bonuses"":[""Sight2: 60"",""SkillGunnery: 1"",""IsCockpit""]}"
250000,,NotSet,Upgrade,Gear_ProtectivePadding,Mech components are sealed inside smaller compartments and thick gel buffering materials are added. ,,,,,,,,,,,,,,"{""Bonuses"":[""CritRes: 15%""]}"
250000,,NotSet,Upgrade,lootable_Sensors_SLDF,"A Basic SLDF Cockpits Sensor Package, capable to boost Vision and Sensors.",,,,,,,,,,,,,,"{""Bonuses"":[""Sensors: +4%"",""Sight: +4%"",""AdvancedSensors: 1""]}"
250000,,NotSet,Upgrade,emod_case2,"CASE II is an experimental version of standard CASE. When an internal explosion occurs, CASE II redu",,,,,,,,,,,,,,"{""Bonuses"":[""CASEII""]}"
250000,,NotSet,Upgrade,emod_armorslots_ferrosfibrous,Ferro-Fibrous armor (FF) is a special type of armor used by vehicles and BattleMechs. Utilizing a we,,,,,,,,,,,,,,"{""Bonuses"":[""ArmorFactor: -12%"",""Reserved: 10"",""ArmorTPCost: 5%"",""ArmorCBCost: 10%""]}"
250000,,NotSet,Upgrade,Quirk_whammy_case2,"CASE II is an experimental version of standard CASE. When an internal explosion occurs, CASE II redu",,,,,,,,,,,,,,"{""Bonuses"":[""CASEII""]}"
250000,,NotSet,Upgrade,Gear_Sensors_Totem,Totem Sensors provide increased resolve rallying the forces to their Banner.,,,,,,,,,,,,,,"{""Bonuses"":[""LanceResolve: +1"",""AdvancedSensors: 1"",""Sharer""]}"
250000,,NotSet,Upgrade,Gear_FCS_MissileHeat,The IMB 433 Fire Control System was designed to stagger the fire of missiles onboard a BattleMech. W,,,,,,,,,,,,,,"{""Bonuses"":[""MissilesHeatGenerated: -15%"",""FCS""]}"
250000,,NotSet,Upgrade,Gear_FCS_LaserHeat,The O-P 911 is a rather old Fire Control System. Surpassed by other models late in the Succession Wa,,,,,,,,,,,,,,"{""Bonuses"":[""LaserHeatGenerated: -15%"",""FCS""]}"
250000,,NotSet,Upgrade,Gear_FCS_DragonP,A rather simple FCS to control Heat Damage weapons to more efficiently apply their Incendiary effect,,,,,,,,,,,,,,"{""Bonuses"":[""HeatDamage: +10%"",""HeatDamage: +1"",""FCS""]}"
250000,,NotSet,Upgrade,Gear_FCS_Athena,"A Electronic Warfware suite married to a targeting computer and Missile Targeting System, but cannot",,,,,,,,,,,,,,"{""Bonuses"":[""Breaching"",""MissileAcc: +1"",""MissileCrit: 35%"",""MissileRange: 15%"",""MissileMinRange: -50%"",""CalledShot: 50%"",""ArtemisIV"",""NightVision"",""FCS""]}"
250000,,NotSet,Upgrade,Gear_FCS_ArtemisII,"The Artemis II Fire Control System is a basic guidance system for Missiles, offering automated Fly b",,,,,,,,,,,,,,"{""Bonuses"":[""MissileClustering: +3"",""FCS""]}"
250000,,NotSet,Upgrade,Gear_ActuatorEnhancementSystem,An Actuator Enhancement System that can be fit on OmniMechs inplace of Lower Arm and Hand Actuators ,,,,,,,,,,,,,,"{""Bonuses"":[""ArmAccuracy: +2"",""TEHeatgen: -3%"",""Recoil: -1""]}"
240000,,NotSet,Upgrade,Gear_Cockpit_Generic_Small,"The Small Cockpit weighs 2/3rds of the standard version, at the expense of being cramped. Injuring a",,,,,,,,,,,,,,"{""Bonuses"":[""SkillGunnery: -1"",""SkillPiloting: -1"",""IsCockpit""]}"
240000,,NotSet,Upgrade,Gear_Actuator_Coventry_B60-Extended,Actuators control a 'Mech's limbs and are used to perform Melee attacks at close quarters. All 'Mech,,,,,,,,,,,,,,"{""Bonuses"":[""MeleeAcc: +1"",""Melee: +20%"",""MeleeStab: +20%"",""ActuatorWeight: 30%"",""HandActuator""]}"
230000,,NotSet,Upgrade,Gear_RemoteSensors,Remote Sensor Dispensers are small cargo bays with an attached dispenser used to place Remote Sensor,,,,,,,,,,,,,,"{""Bonuses"":[""IsProbe: 1"",""AdvancedSensors: 1"",""Activatable"",""ActivatableUses: 3"",""ActivatableDuration: 2"",""ActiveSensors: 50%"",""ActiveSight: 50%""]}"
210000,,NotSet,Upgrade,Gear_Cockpit_Ceres_Metals_Reinforced,"All 'Mechs come equipped with a stock cockpit configuration, which can be upgraded for improved perf",,,,,,,,,,,,,,"{""Bonuses"":[""Health: +1"",""SkillGuts: 1"",""ArmoredCowl: 10"",""IsCockpit""]}"
200000,,NotSet,Upgrade,Special_Mace_1tons,While initially little more than bulked out hatchets that traded a cutting edge for crushing ability,,,,,,,,,,,,,,"{""Bonuses"":[""SpecialMelee: 1"",""MeleeAcc: -1"",""Melee: +10"",""MeleeStab: +5%"",""HandHeldArmored""]}"
200000,,NotSet,Upgrade,Special_Hatchet_1tons,The Hatchet is a melee attack weapon equipped on BattleMechs. While most 'Mechs are equipped with ra,,,,,,,,,,,,,,"{""Bonuses"":[""SpecialMelee: 1"",""MeleeAcc: +1"",""Melee: +5"",""MeleeStab: +2.5%"",""HandHeldArmored""]}"
200000,,NotSet,Upgrade,Special_Sword_1tons,The Sword is a melee attack weapon developed in 3058 by the Draconis Combine as an 'honorable' alter,,,,,,,,,,,,,,"{""Bonuses"":[""SpecialMelee: 1"",""MeleeAcc: +2"",""Melee: +4"",""MeleeStab: +2%"",""HandHeldArmored""]}"
200000,,NotSet,Upgrade,Special_ThermalVision_MK3,"Perfected Thermal Vision on a BattleMech took much time and dedication by Doering, the Optical 320 S",,,,,,,,,,,,,,"{""Bonuses"":[""Special: 0.3"",""ThermalVision: 1, 30, 360""]}"
200000,,NotSet,Upgrade,Special_IFFJammer_MK1,A Basic IFF (Identify Friend/Foe) Jamming unit that prevents enemy to ascertain a units allegiance r,,,,,,,,,,,,,,"{""Bonuses"":[""Special: 0.1"",""IFFJammer: 1""]}"
200000,,NotSet,Upgrade,Special_AdvancedOptics_MK1,"This Module allows any Mech to employ Advanced Optics, including a Zoom, Thermal and Night Vision Mo",,,,,,,,,,,,,,"{""Bonuses"":[""Special: 0.3"",""NewAdvancedZoom: 540"",""ThermalVision: 1, 65, 200"",""NightVision""]}"
200000,,NotSet,Upgrade,Special_AdvZoom_MK3,The J-Peep Farsight was originally designed by Mitchell for their vehicle Fire Control System line. ,,,,,,,,,,,,,,"{""Bonuses"":[""Special: 0.3"",""NewAdvancedZoom: 1080""]}"
200000,,NotSet,Upgrade,Gear_Actuator_Coventry_X75-Standard,Weapon Actuators are a collection of specialized Servos and Compensators allowing a BattleMech's Arm,,,,,,,,,,,,,,"{""Bonuses"":[""ArmAccuracy: +3"",""Recoil: -1"",""Radius: +30%"",""MeleeAcc: -2"",""ActuatorWeight: 10%""]}"
200000,,NotSet,Upgrade,Gear_Actuator_Coventry_X100,Weapon Actuators are a collection of specialized Servos and Compensators allowing a BattleMech's Arm,,,,,,,,,,,,,,"{""Bonuses"":[""ArmAccuracy: +3"",""Recoil: -3"",""MeleeAcc: -2""]}"
180000,,NotSet,Upgrade,Gear_Actuator_Friedhof_Heracles,Actuators control a 'Mech’s limbs and are used to perform Melee attacks at close quarters. All 'Mech,,,,,,,,,,,,,,"{""Bonuses"":[""MeleeAcc: +1"",""Melee: +8%"",""MeleeStab: +4%"",""ActuatorWeight: 15%""]}"
180000,,NotSet,Upgrade,Gear_Actuator_Friedhof_Colossus,Upper Arm Actuators usually are barely more than a connector for a limb. <b><color=#800080>Shoulder/,,,,,,,,,,,,,,"{""Bonuses"":[""ActuatorWeight: 10%"",""DamageTaken: -5%"",""CritRes: 5%"",""CASED: 10""]}"
170000,,NotSet,Upgrade,Gear_Generic_AP,"The Active Probe (AP) is your most basic battlefield probe system, allowing a battlemechs sensors to",,,,,,,,,,,,,,"{""Bonuses"":[""Sensors: +5%"",""Sight: +10%"",""IsProbe: 1"",""AdvancedSensors: 1"",""DetectMine: 60""]}"
170000,,NotSet,Upgrade,lootable_Cockpit_SLDF_Standard,"A StarLeague Defense Forces Standard Spec cockpit, complete with ballistic cooling suit.",,,,,,,,,,,,,,"{""Bonuses"":[""SkillPiloting: 1"",""SkillTactics: 1"",""IsCockpit""]}"
160000,,NotSet,Upgrade,emod_armorslots_impactresistant,Impact Resistant Armor was originally developed by Lyran Commonwealth engineers for use on Solaris V,,,,,,,,,,,,,,"{""Bonuses"":[""MeleeDamageTaken: -35%"",""CritRes: -50%"",""Reserved: 6"",""ArmorTPCost: 20%"",""ArmorCBCost: 25%""]}"
160000,,NotSet,Upgrade,Gear_Cockpit_StarCorps_Improved,"All 'Mechs come equipped with a stock cockpit configuration, which can be upgraded for improved perf",,,,,,,,,,,,,,"{""Bonuses"":[""Resolve: +1"",""SkillTactics: 1"",""IsCockpit""]}"
160000,,NotSet,Upgrade,Gear_Actuator_Coventry_B40-Extended,Actuators control a 'Mech's limbs and are used to perform Melee attacks at close quarters. All 'Mech,,,,,,,,,,,,,,"{""Bonuses"":[""MeleeAcc: +1"",""Melee: +15%"",""MeleeStab: +15%"",""ActuatorWeight: 20%"",""HandActuator""]}"
150000,,NotSet,Upgrade,Gear_Modular_Rear_Armor_MK1,Modular Armor was created as a stopgap measure by ComStar engineers while researching Hardened Armor,,,,,,,,,,,,,,"{""Bonuses"":[""ModularRearArmor: +18""]}"
150000,,NotSet,Upgrade,Gear_Modular_Armor_MK1,Modular Armor was created as a stopgap measure by ComStar engineers while researching Hardened Armor,,,,,,,,,,,,,,"{""Bonuses"":[""ModularArmor: +18""]}"
150000,,NotSet,Upgrade,Tank_EnviroSealing,"Environmental Sealing is a series of filters, air tanks, hermetic seals, and scrubbers that allow a ",,,,,,,,,,,,,,
150000,,NotSet,Upgrade,Special_ThermalVision_MK2,"Perfected Thermal Vision on a BattleMech took much time and dedication by Doering, the Optical 320 S",,,,,,,,,,,,,,"{""Bonuses"":[""Special: 0.2"",""ThermalVision: 1, 50, 330""]}"
150000,,NotSet,Upgrade,Special_AdvZoom_MK2,The J-Peep Farsight was originally designed by Mitchell for their vehicle Fire Control System line. ,,,,,,,,,,,,,,"{""Bonuses"":[""Special: 0.2"",""NewAdvancedZoom: 810""]}"
150000,,NotSet,Upgrade,Gear_Freeman_UAV,This Advanced UAV passively scans the surroundings and highlights any enemys it spots.,,,,,,,,,,,,,,"{""Bonuses"":[""AdvancedUAV: 3, 300"",""Sensors: 10%"",""Sight: 10%"",""NightVision"",""DetectMine: 90""]}"
150000,,NotSet,Upgrade,Gear_Actuator_Friedhof_Gargantuan,Upper Arm Actuators usually are barely more than a connector for a limb. <b><color=#800080>Shoulder/,,,,,,,,,,,,,,"{""Bonuses"":[""ActuatorWeight: 10%"",""Reinforced: +10%"",""CASED: 10""]}"
150000,,NotSet,Upgrade,Gear_Actuator_Friedhof_Compensator,Upper Arm Actuators usually are barely more than a connector for a limb. <b><color=#800080>WEAPON SH,,,,,,,,,,,,,,"{""Bonuses"":[""ActuatorWeight: 10%"",""Recoil: -1""]}"
150000,,NotSet,Upgrade,Gear_Actuator_Coventry_X65-Standard,Weapon Actuators are a collection of specialized Servos and Compensators allowing a BattleMech's Arm,,,,,,,,,,,,,,"{""Bonuses"":[""ArmAccuracy: +2"",""Recoil: -1"",""Radius: +20%"",""MeleeAcc: -3"",""ActuatorWeight: 10%""]}"
130000,,NotSet,Upgrade,Special_Weapon_Melee_YLW,The Actuators on this Mech got special care to improve its Melee abilities.,,,,,,,,,,,,,,"{""Bonuses"":[""MeleeAcc: +1"",""Melee: +10"",""Melee: +10%"",""MeleeStab: +10%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Weapon_Melee,The Actuators on this Mech got special care to improve its Melee abilities.,,,,,,,,,,,,,,"{""Bonuses"":[""MeleeAcc: +1"",""Melee: +10%"",""MeleeStab: +10%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Variable_Range_Targeting,A wide array of targeting sensors and computers are hardwired into this BattleMech allow the pilot t,,,,,,,,,,,,,,"{""Bonuses"":[""Activatable"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Ubiquitous,This BattleMech parts are extremely widespread and cheap to repair.,,,,,,,,,,,,,,"{""Bonuses"":[""ArmorCBCost: -35%"",""StructureCBCost: -35%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_StubbleWings,This 'Mech features tiny Stubble wings acting as Flight Stabilizers.,,,,,,,,,,,,,,"{""Bonuses"":[""JumpDistance: +10%"",""DFAAcc: +1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Stable_Weapons,This Chassis weapons have additional stabilisers and recoil dampers,,,,,,,,,,,,,,"{""Bonuses"":[""Recoil: -1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Stable,This 'Mech has several design features that make it a steady weapons platform.,,,,,,,,,,,,,,"{""Bonuses"":[""SureFoot"",""StabDamageTaken: -10%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Rugged,"This 'Mech design is well known for its reliably and endurance; as a result, long-term maintenance i",,,,,,,,,,,,,,"{""Bonuses"":[""ArmorTPCost: -20%"",""ArmorCBCost: -20%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Reinforced_Structure,This BattleMech's Structure and Armor received specialiced Reinforcements.,,,,,,,,,,,,,,"{""Bonuses"":[""DamageTaken: -10%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Reinforced_Legs,This BattleMech Legs are especially reinforced and cushioned against High Impact Drops.,,,,,,,,,,,,,,"{""Bonuses"":[""DFASelfDamage: -50%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Protected_Actuators,This BattleMech's joints and actuators have received extra protection.,,,,,,,,,,,,,,"{""Bonuses"":[""CritRes: 10%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Nimble,This Chassis is extremely Agile.,,,,,,,,,,,,,,"{""Bonuses"":[""AcePilot"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Narrow_Low_Profile,The low stature or narrow design of this 'Mech makes it more difficult to land an attack.,,,,,,,,,,,,,,"{""Bonuses"":[""Defense: +1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_MultiTrack,"This BattleMech's targeting system received extra care, enabling it to target Multiple Units at once",,,,,,,,,,,,,,"{""Bonuses"":[""MultiTracker"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Modular_Weapons,This BattleMech has been designed to easily allow weapons to be exchanged with incredible ease; whil,,,,,,,,,,,,,,"{""Bonuses"":[""ModularWeapons"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_JumpAttack,This Mech has a specialised TTS allowing it to easier hit Weak Spots during a Jump maneuver,,,,,,,,,,,,,,"{""Bonuses"":[""JumpAttacker: +10%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Jammer,This BattleMech is equipped with specialised ECM gear shielding it against detection,,,,,,,,,,,,,,"{""Bonuses"":[""LocalEcm: 2"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Intimidating,"This Mech doesnt just have Reputation, its appearance crushes all hope of fighting back",,,,,,,,,,,,,,"{""Bonuses"":[""Intimidating: 200"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Improved_Targeting_Short,"Through a combination of design and advanced targeting equipment, this BattleMech has enhanced accur",,,,,,,,,,,,,,"{""Bonuses"":[""AccuracySR: +1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Improved_Targeting_Medium,"Through a combination of design and advanced targeting equipment, this BattleMech has enhanced accur",,,,,,,,,,,,,,"{""Bonuses"":[""AccuracyMR: +1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Improved_Targeting_Long,"Through a combination of design and advanced targeting equipment, this BattleMech has enhanced accur",,,,,,,,,,,,,,"{""Bonuses"":[""AccuracyLR: +1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Improved_Sensors,This BattleMech features a suite of powerful sensor equipment.,,,,,,,,,,,,,,"{""Bonuses"":[""Sensors: +5%"",""IsProbe: 1"",""AdvancedSensors: 1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Improved_Lifesupport,This BattleMech Life Support Sytem allow a pilot to easier withstand the negative consequences of He,,,,,,,,,,,,,,"{""Bonuses"":[""SkillGuts: +2"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Improved_Cooling_Jacket_PPC,This BattleMech features equipment that is particularly exceptional at eliminating the heat generate,,,,,,,,,,,,,,"{""Bonuses"":[""PPCCAPHEAT: -5%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Improved_Cooling_Jacket_Missiles,This BattleMech features equipment that is particularly exceptional at eliminating the heat generate,,,,,,,,,,,,,,"{""Bonuses"":[""MissilesHeatGenerated: -5%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Improved_Cooling_Jacket_Laser,This BattleMech features equipment that is particularly exceptional at eliminating the heat generate,,,,,,,,,,,,,,"{""Bonuses"":[""LaserHeatGenerated: -5%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Improved_Cooling_Jacket_Autocannon,This BattleMech features equipment that is particularly exceptional at eliminating the heat generate,,,,,,,,,,,,,,"{""Bonuses"":[""ACHeatGenerated: -5%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Improved_Comms,This BattleMech features enhanced communications equipment allowing the pilots greater control over ,,,,,,,,,,,,,,"{""Bonuses"":[""SkillTactics: 1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Hyper_Extending_Actuators,"This BattleMech's actuators are hyper-mobile, allowing the 'Mech to aim at targets outside the norma",,,,,,,,,,,,,,"{""Bonuses"":[""Radius: +30%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Hiten_Melee,The Actuators on this Mech got special care to improve its Melee abilities.,,,,,,,,,,,,,,"{""Bonuses"":[""MeleeAcc: +2"",""Melee: +15%"",""MeleeStab: +15%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Extreme_Torso_Twist,This BattleMech's Torso can Twist freely into Any directiony.,,,,,,,,,,,,,,"{""Bonuses"":[""Radius: 360"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Extended_Torso_Twist,"This BattleMech has a wide range of motion at the torso joint, allowing it a larger field of fire.",,,,,,,,,,,,,,"{""Bonuses"":[""Radius: +50%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Easy_To_Pilot,This BattleMech is exceptionally easy to control and manuever; it is often assigned to green or clum,,,,,,,,,,,,,,"{""Bonuses"":[""SkillPiloting: +1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Easy_To_Maintain,This BattleMech is particularly reliable and easy to maintain or use parts that are exceptionally co,,,,,,,,,,,,,,"{""Bonuses"":[""ArmorTPCost: -10%"",""StructureTPCost: -10%"",""ArmorCBCost: -10%"",""StructureCBCost: -10%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Distracting,"This 'Mech design has a reputation and fearsome it is, intimidating to behold is enemy morale shatte",,,,,,,,,,,,,,"{""Bonuses"":[""Distracting: 220"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Default_Quirk,This is a Fallback Default Quirk that needs fixing.,,,,,,,,,,,,,,"{""Bonuses"":[""NightVision"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Cowl,"This BattleMech has reinforced armor, protective baffles, or other improved defenses around the cock",,,,,,,,,,,,,,"{""Bonuses"":[""Health: +1"",""ArmoredCowl: 5"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Command_Mech,This BattleMech is specially designed with an enhanced cockpit equipment to enable the pilot to easi,,,,,,,,,,,,,,"{""Bonuses"":[""Tacticon: +1"",""LanceResolve2: 2"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Combat_Computer,This BattleMech is fitted with an extremely advanced combat computer that more efficiently handles a,,,,,,,,,,,,,,"{""Bonuses"":[""HeatGenerated: -5%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Battle_Fists,This BattleMech's hand actuators have been specifically designed to for close combat.,,,,,,,,,,,,,,"{""Bonuses"":[""MeleeAcc: +1"",""Melee: +5%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Battle_Computer,This BattleMech features an enhanced suite of electronics designed for easy and efficient tactical a,,,,,,,,,,,,,,"{""Bonuses"":[""Tacticon: +2"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Barrel_Fist,This BattleMech has been designed to be able to use an arm in melee combat despite the lack of a han,,,,,,,,,,,,,,"{""Bonuses"":[""MeleeAcc: +1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Anti_Air_Targeting,"This BattleMech has been designed with particular consideration for targetting fast, airborne, targe",,,,,,,,,,,,,,"{""Bonuses"":[""EvasionIgnore: +1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_AdvancedOptics_Quirk,"This Module allows any Mech to employ Advanced Optics, including a Zoom, Thermal and Night Vision Mo",,,,,,,,,,,,,,"{""Bonuses"":[""AdvancedZoom: 5, 240"",""ThermalVision: 1, 30, 300"",""NightVision"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Accurate_Weapon_PPC,This BattleMech features PPC mounts of exceptional design and construction which leads to a marked i,,,,,,,,,,,,,,"{""Bonuses"":[""PPCACC: +1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Accurate_Weapon_Machinegun,This BattleMech features MachineGun mounts of exceptional design and construction which leads to a m,,,,,,,,,,,,,,"{""Bonuses"":[""MGAcc: +1"",""RecoilMG: -1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Accurate_Weapon_Laser,This BattleMech features laser mounts of exceptional design and construction which leads to a marked,,,,,,,,,,,,,,"{""Bonuses"":[""LaserAccuracy: +1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Accurate_Weapon_HandHeld,The BattleMech's Actuators are designed to operate Hand Held Weapons with exceptional grace.,,,,,,,,,,,,,,"{""Bonuses"":[""HandHeldQuirk: +2"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Accurate_Weapon_Gauss,This BattleMech features Gauss Rifle mounts of exceptional design and construction which leads to a ,,,,,,,,,,,,,,"{""Bonuses"":[""GaussAccuracy: +1"",""RecoilGauss: -1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Accurate_Weapon_Autocannon,This BattleMech features autocannon mounts of exceptional design and construction which leads to a m,,,,,,,,,,,,,,"{""Bonuses"":[""ACAccuracy: +1"",""RecoilAC: -1"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Accurate_Category_Missiles,This BattleMech features Missile mounts of exceptional design and construction which leads to a mark,,,,,,,,,,,,,,"{""Bonuses"":[""MissileAcc: +1"",""MissileClustering: +5"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Accurate_Category_Energy,This BattleMech features Energy mounts of exceptional design and construction which leads to a marke,,,,,,,,,,,,,,"{""Bonuses"":[""EnergyAcc: +1"",""EnergyHeatGenerated: -5%"",""Quirk""]}"
130000,,NotSet,Upgrade,Special_Accurate_Category_Ballistics,This BattleMech features Ballistics mounts of exceptional design and construction which leads to a m,,,,,,,,,,,,,,"{""Bonuses"":[""BallisticAcc: +1"",""BallisticRecoil: -1"",""Quirk""]}"
130000,,NotSet,Upgrade,Gear_Cockpit_Majesty_M_M_120KL,"All 'Mechs come equipped with a stock cockpit configuration, which can be upgraded for improved perf",,,,,,,,,,,,,,"{""Bonuses"":[""Sight2: 40"",""SkillGunnery: 1"",""IsCockpit""]}"
120000,,NotSet,Upgrade,PA_Controls,Every Battle Armor is Piloted by a single specially trained Infantrist.,,,,,,,,,,,,,,"{""Bonuses"":[]}"
120000,,NotSet,Upgrade,Gear_HarJel3,HarJel is a black gel developed by Clan Diamond Shark. It is created from a naturally occurring subs,,,,,,,,,,,,,,"{""Bonuses"":[""HaarJel"",""HaarJelTurn"",""HaarJelArmor: 15"",""HaarJelStructure: 5"",""HaarJelDuration: 3"",""BreachImmunity"",""FluidBoom: 60""]}"
120000,,NotSet,Upgrade,Gear_HarJel2,HarJel is a black gel developed by Clan Diamond Shark. It is created from a naturally occurring subs,,,,,,,,,,,,,,"{""Bonuses"":[""HaarJel"",""HaarJelTaken"",""HaarJelArmor: 12"",""HaarJelStructure: 4"",""HaarJelDuration: 2"",""BreachImmunity"",""FluidBoom: 40""]}"
120000,,NotSet,Upgrade,Gear_HarJel,HarJel is a black gel developed by Clan Diamond Shark. It is created from a naturally occurring subs,,,,,,,,,,,,,,"{""Bonuses"":[""HaarJel"",""HaarJelLocation"",""HaarJelArmor: 6"",""HaarJelStructure: 2"",""HaarJelDuration: 1"",""BreachImmunity"",""FluidBoom: 20""]}"
120000,,NotSet,Upgrade,Gear_Gyro_Proto_UL_P,This was a perfectly fine Protomech Gyro. Was. Now its a mess of metal and wires. It is lighter but ,,,,,,,,,,,,,,"{""Bonuses"":[""GyroStab: 30"",""StabDamageTaken: +20%""]}"
